id,name,phase,x,y,trl,impact,barriers,sustainability,strategicFit,category,notes,source
1,"Edge AI & Federated Learning","slope",55,60,8,9,3,3,10,"Smart City Infrastructure","Decentralized real-time AI for intersections, cameras, sensors.","Gartner 2025; McKinsey 2025"
2,"Collaborative Sensing Networks","slope",65,50,7,8,4,4,10,"IoT & Sensing","Multi-sensor fusion across city systems for situational awareness.","WEF 2025; CB Insights 2025"
3,"Urban Digital Twins","innovation",16,44,5,10,6,3,10,"City Simulation","Continuous city-scale simulation for planning, resilience and operations.","McKinsey 2025; Gartner 2025"
4,"AI for Climate Resilience","slope",53,52,7,9,4,2,10,"Smart City Sustainability","Predictive analytics for floods, heat, air quality, and adaptation.","McKinsey 2025"
5,"AI-Powered Urban Mobility (V2X)","slope",52,48,7,10,5,3,10,"Smart Mobility","Vehicle-to-infrastructure orchestration for optimized traffic and logistics.","McKinsey 2025; Gartner 2025"
6,"Green IT & Sustainable Data Centers","plateau",65,60,9,8,3,2,9,"Smart Infrastructure","Renewable-powered computing edge/data centres to cut carbon footprint.","CB Insights 2025; WEF 2025"
7,"Decentralized Digital Identity (DID)","slope",50,42,7,8,5,4,10,"Trust & Governance","Privacy-preserving citizen identity for services and mobility.","WEF 2025"
8,"AI-Driven Cyber Defense","slope",55,65,8,9,4,4,10,"Trust & Security","Self-learning defence for IoT, OT, and city systems.","McKinsey 2025"
9,"Circular Electronics Manufacturing","innovation",13,57,5,8,5,2,9,"Sustainability","Closed-loop hardware production to reduce e-waste in urban deployments.","WEF 2025"
10,"Structural Battery Composites","slope",50,50,7,9,6,3,8,"Energy & Materials","Lightweight structural materials that store energy for EVs, drones, robots.","WEF 2025"
11,"Smart Grid & Energy Optimization","slope",58,60,8,9,3,3,9,"Smart Infrastructure","AI-managed grids balancing distributed generation and demand.","CB Insights 2025"
12,"Autonomous Urban Robotics (service fleets)","innovation",10,75,5,9,7,4,10,"Robotics","Autonomous cleaning, inspection and delivery robots integrated with city systems.","Industry Reports 2025"
13,"Swarm Robotics for Infrastructure","innovation",9,84,5,10,7,4,10,"Autonomous Robotics","Coordinated small-robot fleets for inspection, repair and logistics.","McKinsey 2025"
14,"Predictive Infrastructure Maintenance","slope",68,58,8,8,4,2,10,"AI & Automation","AI predictive maintenance for roads, bridges, utilities and transport assets.","McKinsey 2025"
15,"Low-Earth Orbit IoT / Satellite IoT","slope",75,50,7,8,5,5,8,"Connectivity","LEO-supported IoT connectivity for city sensors and remote sites.","CB Insights 2025"
16,"5G/6G Advanced Network Slicing","innovation",14,50,4,9,8,5,9,"Connectivity","Dedicated virtual networks for critical services and robotics control.","Gartner 2025"
17,"Privacy-Enhancing Computation","slope",60,50,7,8,5,3,9,"Security & Privacy","Techs that allow analytics on sensitive data without exposing raw info.","Industry Consensus 2025"
18,"Digital Twin of Infrastructure (assets)","slope",54,56,7,9,5,3,10,"City Simulation","Asset-level twins feeding city digital twin for operational decisions.","Gartner 2025"
19,"Smart Waste Management Robots","plateau",88,49,8,7,4,1,9,"Robotics","Autonomous sorting and collection for recycling and urban waste efficiency.","Industry Reports 2024"
20,"Urban Water Management AI","slope",62,46,7,8,5,2,9,"Climate Tech","AI for leakage detection, demand forecasting and quality management in networks.","WEF 2025"
21,"Smart Building Energy Management","slope",67,53,8,8,3,2,9,"Smart Infrastructure","AI-driven HVAC, lighting and energy optimisation for city buildings.","CB Insights 2025"
22,"Mobility-as-a-Service (MaaS) Platforms","slope",64,54,7,8,4,3,9,"Smart Mobility","Integrated multimodal trip planning, payments and optimisation for citizens.","Industry Consensus 2025"
23,"Emergency Response & Resilience AI","innovation",8,88,5,9,6,3,10,"Public Safety","Real-time coordination, resource allocation and scenario simulation for disasters.","McKinsey 2025"
24,"Air Quality & Environmental Sensing Networks","slope",56,58,7,8,4,2,10,"IoT & Sensing","Dense networks of low-cost sensors with AI calibration for hyperlocal air quality.","WEF 2025"
25,"Shared Micro-mobility with Geo-fencing","plateau",84,49,8,7,3,3,8,"Smart Mobility","Managed e-scooter/bike systems integrated with city policies and traffic control.","Industry Reports 2024"
26,"Wireless Power Transfer for EVs & Robots","innovation",12,62,3,8,9,3,9,"Energy & Mobility","Dynamic charging infrastructure for vehicles and robotic fleets.","CB Insights 2024"
27,"Blockchain-based Mobility Payment & Routing","innovation",9,80,4,7,6,4,8,"Trust & Governance","Decentralised payments and secure routing for multimodal services.","Industry Consensus 2025"
28,"Cybersecurity Digital Twins","innovation",11,68,4,8,8,3,9,"Security & Privacy","Simulated city networks used to find vulnerabilities and test responses.","Gartner 2025"
29,"Multi-Modal Fusion Perception (LiDAR+Radar+Vision)","slope",72,52,7,9,5,3,10,"Sensors & Perception","Robust perception stacks for vehicles, drones and infrastructure sensors.","Robotics Industry 2024"
30,"Urban Noise & Vibration Monitoring Networks","slope",60,58,6,6,4,2,7,"IoT & Sensing","Continuous monitoring for planning, health, and adaptive noise mitigation.","Academic & Industry 2024"
