"id","name","phase","x","y","trl","impact","barriers","sustainability","strategicFit","category","notes","source"
"1","Agentic AI","Peak of Inflated Expectations","31.61","11.0","6","9","5","6","8","AI & Automation","Autonomous AI agents performing complex tasks.","Gartner"
"2","Composite AI","Innovation Trigger","11.39","61.79","2","9","8","6","8","AI & Automation","Combining multiple AI techniques for better reasoning.","Gartner"
"3","Generative AI (Multimodal)","Trough of Disillusionment","43.72","21.42","7","9","5","6","8","AI & Automation","Mainstream GenAI shifting toward video/audio.","McKinsey"
"4","Post-Quantum Cryptography","Slope of Enlightenment","54.45","52.41","8","9","5","6","7","Security, Trust & Privacy","Securing data against future quantum attacks.","WEF"
"5","Digital Immune Systems","Trough of Disillusionment","46.25","26.11","7","7","5","6","7","Security, Trust & Privacy","Autonomous system recovery and defense.","Gartner"
"6","Non-Terrestrial Networks (NTN)","Innovation Trigger","18.45","33.66","4","7","8","6","10","Connectivity & IoT","Satellite-to-ground 5G/6G integration.","CB Insights"
"7","6G Communications","Innovation Trigger","17.23","38.35","3","10","8","6","10","Connectivity & IoT","Next-gen ultra-low latency connectivity.","McKinsey"
"8","Ambient IoT","Innovation Trigger","6.33","94.34","4","7","8","8","10","Connectivity & IoT","Battery-less sensors for massive IoT.","Gartner"
"9","Private 5G/6G Networks","Slope of Enlightenment","59.5","58.14","7","10","5","6","10","Connectivity & IoT","Dedicated networks for industrial/port use.","Gartner"
"10","Quantum Computing","Innovation Trigger","14.27","49.03","4","9","9","6","5","Quantum Technologies","Fault-tolerant quantum processing units.","McKinsey"
"11","Quantum Sensors","Innovation Trigger","7.12","88.09","3","9","9","6","5","Quantum Technologies","Ultra-precise positioning and timing.","WEF"
"12","Sustainable Aviation Fuel (SAF)","Slope of Enlightenment","52.61","47.72","8","7","9","10","5","Energy, Climate & Materials","Carbon-neutral propulsion for aviation.","WEF"
"13","Green Hydrogen","Trough of Disillusionment","38.41","14.13","5","7","9","10","5","Energy, Climate & Materials","Hydrogen produced via renewable electrolysis.","McKinsey"
"14","Carbon Capture (CCS)","Slope of Enlightenment","68.91","53.97","7","7","9","10","5","Energy, Climate & Materials","Direct air capture and storage.","CB Insights"
"15","Sodium-ion Batteries","Innovation Trigger","8.43","81.84","2","7","9","10","5","Energy, Climate & Materials","Cheaper, safer alternative to Lithium.","WEF"
"16","Humanoid Robots","Peak of Inflated Expectations","26.29","13.87","4","7","5","6","9","Robotics & Physical Systems","General purpose bipedal automation.","CB Insights"
"17","Software-Defined Vehicles","Slope of Enlightenment","56.36","56.32","8","7","5","6","9","Robotics & Physical Systems","Decoupling hardware from vehicle features.","Gartner"
"18","Autonomous Mobile Robots (AMR)","Plateau of Productivity","80.24","50.28","9","7","5","6","9","Robotics & Physical Systems","Fully commercialized warehouse automation.","Gartner"
"19","Causal AI","Innovation Trigger","15.49","43.3","2","9","8","6","8","AI & Automation","AI that understands cause-and-effect.","Gartner"
"20","PETs (Privacy Technologies)","Slope of Enlightenment","51.57","43.3","7","7","5","6","7","Security, Trust & Privacy","Encrypted data processing/Federated learning.","Gartner"
"21","City-Scale Digital Twins","Slope of Enlightenment","64.47","56.06","8","7","5","6","9","Computing & Infrastructure","Real-time urban modeling and traffic simulation.","McKinsey"
"22","Neuromorphic Computing","Innovation Trigger","10.34","68.56","4","7","8","6","6","Computing & Infrastructure","Hardware mimicking brain-like efficiency.","WEF"
"23","Platform Engineering","Plateau of Productivity","84.51","48.2","9","7","5","6","6","Computing & Infrastructure","Optimized internal developer experiences.","Gartner"
"24","Edge AI","Plateau of Productivity","90.09","45.59","9","9","5","6","8","AI & Automation","AI inference localized on edge devices.","McKinsey"
"25","Spatial Computing","Trough of Disillusionment","47.73","31.32","5","7","5","6","5","Health, Bio & Experience Tech","Blending digital content with physical space.","CB Insights"
"26","Brain-Computer Interfaces","Innovation Trigger","12.87","54.49","3","7","8","6","5","Health, Bio & Experience Tech","Neuralink and similar direct neural links.","WEF"
"27","Synthetic Biology","Innovation Trigger","9.47","75.07","3","7","8","6","5","Health, Bio & Experience Tech","Redesigning organisms for specific purposes.","McKinsey"
"28","Decentralized Identity","Trough of Disillusionment","41.55","17.77","6","7","5","6","7","Security, Trust & Privacy","User-controlled self-sovereign identity.","Gartner"
"29","V2X (Vehicle-to-Everything)","Slope of Enlightenment","50.17","39.13","7","10","5","8","10","Connectivity & IoT","Standardized vehicle communication protocol.","Gartner"
"30","AI-Augmented Engineering","Peak of Inflated Expectations","23.68","19.34","6","9","5","6","8","AI & Automation","AI-driven code generation and testing.","Gartner"
