id,name,phase,x,y,trl,impact,barriers,sustainability,strategicFit,category,notes,source
1,Advanced Manipulation & Grasping,"slope",62,48,7,9,4,4,10,Manipulation,"High-precision dexterous manipulation for logistics and maintenance","Industry Reports 2025; McKinsey 2025"
2,Soft Robotics & Compliant Actuators,innovation,13,52,5,8,6,3,9,Materials,"Safe, flexible robots for close human interaction","WEF 2025; Gartner 2025"
3,Bio-inspired Actuators & Musculoskeletal Robots,innovation,15,43,4,8,7,4,8,Materials,"Lightweight, efficient actuation mimicking animal physiology","Academic & Industry 2024"
4,Legged Robotics (all-terrain),innovation,12,56,5,9,7,5,10,Locomotion,"Robots for uneven terrain, inspection, emergency response","CB Insights 2025"
5,Aerial Swarms for Logistics & Monitoring,innovation,8,83,4,9,8,5,9,Aerial Robotics,"Cooperative drone fleets for delivery and city monitoring","McKinsey 2025"
6,Terrestrial Swarm Robotics,innovation,11,64,5,9,7,4,10,Autonomy,"Coordinated ground robot teams for maintenance and inspection","Industry Reports 2025"
7,Mobile Manipulation (AMR + Arm),slope,66,45,7,9,5,4,10,Autonomous Systems,"Integrated mobile platforms with manipulation arms for warehouses and cities","Gartner 2025"
8,Tactile & High-Resolution Skin Sensors,slope,60,56,7,8,4,3,10,Perception,"Distributed touch sensors for safe manipulation and human interaction","Robotics Industry 2024"
9,Skin-like Flexible Electronics,innovation,11,68,4,7,8,3,8,Materials,"Conformable sensors and interfaces for soft robots and wearables","WEF 2024"
10,Embodied AI / On-Robot Agentic Systems,innovation,7,92,4,10,9,5,10,AI & Autonomy,"On-device agentic AI managing mission-level goals and multi-robot coordination","Gartner 2025; McKinsey 2025"
11,On-Device Reinforcement Learning & Continual Learning,slope,56,58,6,9,6,4,10,Learning,"Adaptive models that learn online for changing environments","Industry Consensus 2025"
12,Sim2Real Transfer & Domain Randomization,slope,52,44,6,8,5,4,9,Simulation,"Bridging simulation-trained policies to reliable real-world performance","Academic & Industry 2024"
13,Digital Twin for Robot Fleets,innovation,18,35,5,9,6,3,10,Simulation,"Real-time digital twins for fleet coordination and predictive maintenance","Gartner 2025"
14,Robot-as-a-Service (RaaS) Platforms,plateau,75,50,8,8,3,4,9,Business Models,"On-demand robotics with managed service models for cities and enterprises","Industry Reports 2024"
15,Human-Robot Collaboration (cobots) ,plateau,79,50,9,8,3,3,10,Collaboration,"Highly safe cobots working alongside humans in mixed workspaces","McKinsey 2025"
16,Exoskeletons & Wearable Robotics,slope,50,38,7,8,6,4,8,Assistive Tech,"Industrial and medical exoskeletons to augment human performance","WEF 2025"
17,Neuro-Robotic Interfaces & Prosthetics,innovation,19,32,4,10,8,6,9,NeuroTech,"BCI-enabled control for assistive robotics and prosthetics","McKinsey 2025; WEF 2025"
18,Autonomous Construction Robots,innovation,9,80,4,9,8,5,9,Construction,"Robots for automated construction, 3D printing, and site assembly","Industry Reports 2025"
19,Search & Rescue Autonomous Systems,innovation,8,87,5,9,7,4,10,Public Safety,"Resilient robots for disaster response, rubble navigation and victim detection","CB Insights 2025"
20,Aquatic & Underwater Autonomous Robots,innovation,11,60,4,8,8,4,7,Marine Robotics,"Underwater inspection, infrastructure maintenance, and environmental monitoring","Industry Reports 2024"
21,Autonomous Last-Mile Delivery Robots,slope,65,54,7,8,5,4,9,Delivery,"Sidewalk and micro-urban delivery robots with safe navigation stacks","CB Insights 2024"
22,Warehouse Automation & Advanced AMRs,plateau,85,50,9,8,3,3,10,Logistics,"Highly optimized AMRs and orchestration for logistics hubs","Industry Reports 2024"
23,Multi-Modal Perception Fusion (LiDAR+Radar+Vision),slope,70,51,7,9,5,3,10,Perception,"Robust perception stacks enabling safe autonomy in cluttered environments","Robotics Industry 2024"
24,Energy-Harvesting Robots (self-powering),innovation,16,40,3,8,9,2,8,Energy,"Robots using ambient energy (vibration, solar) to extend operational life","Academic & Industry 2024"
25,Self-Repairing & Modular Robots,innovation,10,72,4,9,8,3,9,Robotics Materials,"Modular robots that self-reconfigure and repair for longevity","Gartner 2025"
26,Morphing & Adaptive Structures,innovation,14,48,4,8,9,3,8,Materials,"Structures that change shape for mobility, deployment, or aerodynamics","WEF 2024"
27,Haptic Feedback & Teleoperation Systems,slope,64,47,7,8,5,4,9,Haptics,"Low-latency teleoperation with rich haptics for remote manipulation","Gartner 2025"
28,Robotic Swarms for Infrastructure Inspection,innovation,9,76,5,9,7,4,10,Inspection,"Collaborative micro-robots for pipeline, bridge, and tunnel inspection","McKinsey 2025"
29,Privacy-Preserving On-Robot Computation (PEP),slope,54,54,6,8,4,3,9,Security,"Edge privacy techniques keeping sensitive sensing data on-device","Industry Consensus 2025"
30,Quantum-Accelerated Robotics Simulation,innovation,20,27,3,10,9,6,7,Quantum Robotics,"Quantum-assisted optimization for complex motion planning and multi-agent coordination","Gartner 2025; McKinsey 2025"
