id,name,phase,x,y,trl,impact,barriers,sustainability,strategicFit,category,notes,source
1,Agentic AI,peak,24,20,5,10,7,5,10,"AI & Automation","Autonomous AI systems capable of task orchestration and decision-making. Foundational for smart mobility and robotics applications.","Gartner 2024, McKinsey 2025"
2,Generative AI & Multimodal Models,slope,50,38,8,9,3,4,9,"AI & Automation","Mature generative models combining text, vision, and audio for city planning, robotics, and analytics.","Gartner 2024, CB Insights 2025"
3,AI-Augmented Software Engineering,slope,51,42,8,8,3,4,9,"Developer Tools","AI copilots and code generation improving R&D and digital twin development productivity.","Gartner 2024"
4,AI Safety & Governance Platforms,slope,52,45,7,8,5,3,10,"Trust & Security","Responsible AI, risk management, and compliance tooling supporting ethical smart city operations.","WEF 2025, McKinsey 2025"
5,Multi-Agent Systems,innovation,9,79,4,9,7,5,10,"AI & Automation","Networks of cooperative AI agents enabling distributed decision-making in mobility and robotics.","Gartner 2025"
6,Humanoid Robots,peak,35,12,6,9,8,6,10,Robotics,"Human-like robots transforming logistics, healthcare, and service industries in future smart cities.","Gartner 2024"
7,Swarm Robotics,innovation,16,45,4,9,7,5,10,Robotics,"Cooperative robotic systems for autonomous maintenance, agriculture, and public safety operations.","McKinsey 2025"
8,Edge AI & Federated Learning,slope,54,51,8,9,3,3,10,Computing,"Decentralized AI enabling low-latency analytics in mobility and IoT ecosystems.","Gartner 2025, CB Insights 2025"
9,Quantum Computing,innovation,28,14,3,10,9,5,8,"Quantum Tech","Hybrid quantum-classical computation enabling advanced optimization for smart infrastructure.","McKinsey 2025"
10,Post-Quantum Cryptography,slope,73,52,6,9,5,4,9,"Trust & Security","Quantum-resilient cryptography securing mobility and IoT networks.","WEF 2025"
11,Structural Battery Composites,slope,57,55,7,9,6,3,8,"Energy & Materials","Lightweight power-storing materials for drones, robotics, and EVs.","WEF 2025"
12,Green Nitrogen Fixation,slope,60,58,6,8,5,2,9,"Climate Tech","Eco-friendly ammonia synthesis supporting sustainable urban agriculture.","WEF 2025"
13,Next-Gen Nuclear (SMRs),slope,63,56,7,9,7,3,8,"Energy & Materials","Small modular reactors providing decentralized, safe energy for smart city grids.","WEF 2025"
14,Carbon Capture & Utilization,slope,71,53,8,9,5,2,9,"Climate Tech","Industrial carbon reduction technology enabling sustainability-driven urban innovation.","McKinsey 2025"
15,Engineered Living Therapeutics,slope,53,48,6,9,7,5,7,Healthcare,"Engineered microbial therapies reshaping precision medicine and environmental bioremediation.","WEF 2025"
16,RNA & Epigenetic Therapies,slope,69,52,7,9,6,5,7,Healthcare,"Next-generation RNA therapeutics with potential cross-domain bio-digital applications.","CB Insights 2025"
17,Bio-Digital Interfaces,innovation,12,60,4,10,8,5,10,BioTech,"Brain-computer and neural interface systems connecting cognition with robotics and smart devices.","McKinsey 2025"
18,Synthetic Biology Platforms,slope,76,51,7,8,5,4,8,Healthcare,"Programmable biological systems enabling materials and healthcare innovation.","WEF 2025"
19,6G Networks,innovation,10,75,4,9,8,5,9,Connectivity,"Ultra-low latency wireless foundation for robotics and IoT ecosystems.","Gartner 2024"
20,Satellite Internet Constellations,plateau,85,48,8,8,4,4,8,"Space Tech","Low Earth orbit satellite networks delivering global IoT connectivity.","CB Insights 2025"
21,Collaborative Sensing Networks,slope,67,53,7,9,4,3,10,"IoT & Sensors","AI-enhanced sensor fusion supporting adaptive infrastructure and smart mobility systems.","WEF 2025"
22,Digital Twin of the Customer,trough,40,18,6,8,6,5,8,"Experience Tech","Personalized digital avatars integrating behavioral and transaction data for urban analytics.","Gartner 2024"
23,Superapps,slope,78,51,9,8,3,4,8,"Experience Tech","Unified ecosystems combining commerce, mobility, and city services.","Gartner 2024"
24,Machine Customers,innovation,11,68,4,9,7,5,9,"AI & Automation","Autonomous digital entities performing B2B and B2C transactions in connected ecosystems.","Gartner 2025"
25,AI-Driven Cyber Defense,slope,83,49,8,9,4,3,10,"Trust & Security","Self-learning cybersecurity systems protecting AI, IoT, and robotic platforms.","McKinsey 2025"
26,Quantum-Safe Networking,innovation,14,54,4,9,8,5,9,"Quantum Tech","Quantum-secure communications protecting next-gen city and robotic systems.","Gartner 2025"
27,Decentralized Digital Identity (DID),slope,80,50,7,9,5,3,10,"Trust & Security","Privacy-preserving identity systems foundational for secure mobility ecosystems.","WEF 2025"
28,Green IT & Sustainable Data Centers,slope,88,47,9,8,3,2,9,Sustainability,"Energy-optimized infrastructure minimizing data center carbon footprint.","CB Insights 2025"
29,Circular Electronics Manufacturing,innovation,15,445,5,8,5,2,9,Sustainability,"Circular production models reducing e-waste across smart city ecosystems.","WEF 2025"
30,AI for Climate Resilience,slope,65,54,8,10,4,2,10,"Climate Tech","AI-driven modeling for predicting and mitigating climate impacts on cities and mobility.","McKinsey 2025"
