"id","name","phase","x","y","trl","impact","barriers","sustainability","strategicFit","category","notes","source"
"1","Edge AI Infrastructure","Slope of Enlightenment","53.75","51.40","8","10","3","3","10","Computing & Infrastructure","Low-latency distributed AI processing","McKinsey 2026"
"2","AI-Native Cyber Defense Platforms","Slope of Enlightenment","55.75","55.57","8","10","4","3","10","Security, Trust & Privacy","Self-learning cybersecurity systems","McKinsey 2026"
"3","AI-Orchestrated Smart City Platforms","Slope of Enlightenment","52.35","46.53","7","10","5","4","10","AI & Automation","Unified AI layer managing urban systems","McKinsey 2026"
"4","Collaborative Sensing Networks","Slope of Enlightenment","58.45","57.91","7","9","5","2.9","9.9","Connectivity & IoT","Sensor fusion for adaptive infrastructure; Distributed sensors sharing data via AI for comprehensive environmental and infrastructure monitoring. Directly supports QMIC's smart city, traffic management, and environmental sensing R&D.","WEF 2026"
"5","Digital Twin Ecosystems","Slope of Enlightenment","61.50","57.65","7","10","5","3","10","Computing & Infrastructure","Real-time city-scale simulation systems","Gartner 2026"
"6","Trustworthy AI Governance Platforms","Slope of Enlightenment","64.47","56.61","7","9","5","3","10","Security, Trust & Privacy","Ethical AI and compliance frameworks","Gartner 2026"
"7","Private 5G/6G Networks","Slope of Enlightenment","67.17","55.31","7","10","5","6","10","Connectivity & IoT","Dedicated networks for industrial/port use.","Gartner"
"8","Generative AI for Simulation & Planning","Slope of Enlightenment","70.13","53.48","8","9","4","4","9","AI & Automation","Digital twin simulation and predictive urban planning","CB Insights 2026"
"9","AI for Climate Resilience","Plateau of Productivity","78.50","50.44","8","9.2","5.8","1.8","9","Energy, Climate & Materials","AI systems for climate impact prediction, urban adaptation planning, and resource optimization. Directly supports Qatar's environmental sustainability and climate adaptation strategies.","WEF 2026, QMIC Strategy 2026"
"10","AI-Optimized Data Centers","Plateau of Productivity","83.80","47.80","9","8","3","2","9","Computing & Infrastructure","Energy-efficient AI-managed infrastructure","CB Insights 2026"
"11","Cybersecurity Mesh","Plateau of Productivity","81.20","49.13","8","9","5.5","2","9.2","Security, Trust & Privacy","Modular, distributed security architecture for identity and access management; mature and widely adopted. Critical for securing Qatar's connected mobility and smart city infrastructure.","Gartner 2026"
"12","Embodied AI & Physical World Understanding","Plateau of Productivity","75.97","52.00","7","9.3","6","3.5","9.8","AI & Automation","AI systems that understand and interact with physical environments; powering autonomous navigation and manipulation. Core to QMIC's embodied intelligent systems strategy for robotics and smart city applications.","CB Insights 2026"
"13","Confidential Computing at Scale","Plateau of Productivity","87.04","46.53","8","8","3","3","8","Security, Trust & Privacy","Secure data processing environments","CB Insights 2026"
"14","Autonomous Mobility Systems (Level 5)","Trough of Disillusionment","43.55","21.54","6","10","8","4","10","Robotics & Physical Systems","Fully autonomous transportation ecosystems","CB Insights 2026"
"15","Generative AI for Code & Content","Trough of Disillusionment","47.39","29.35","7","8.8","5.8","5.5","8.8","AI & Automation","Mature generative models for code, images, and text moving past peak hype; integration challenges and governance concerns persist. Core enabler for digital content and software development in Qatar's knowledge economy.","Industry Consensus 2026"
"16","Generative AI (Multimodal)","Trough of Disillusionment","48.95","34.56","7","9","5","6","8","AI & Automation","Mainstream GenAI shifting toward video/audio.","McKinsey"
"17","Autonomous Vehicles L4/L5","Trough of Disillusionment","41.55","18.14","6","9","9","8","10","Robotics & Physical Systems","Fully autonomous driving for limited domains; regulatory and safety challenges","QMIC 2026"
"18","Digital Twin of the Customer","Trough of Disillusionment","45.64","25.44","5","7.8","7.2","4.5","7.5","AI & Automation","Dynamic virtual models of individual customer behavior and preferences; hype has faded amid privacy concerns and accuracy limitations. Applicable to personalized mobility services and citizen engagement.","Gartner 2026"
