"id","name","phase","x","y","trl","impact","barriers","sustainability","strategicFit","category","notes","source"
"1","Agentic AI Systems","Peak of Inflated Expectations","32.13","11.26","5","10","7","5","10","AI & Automation","Autonomous AI agents orchestrating complex city-scale processes","Gartner 2026; McKinsey 2026"
"2","Multi-Agent Autonomous Systems","Innovation Trigger","9.04","77.15","4","9","8","5","10","AI & Automation","Distributed AI agents coordinating infrastructure and mobility","Gartner 2026"
"3","AI-Orchestrated Smart City Platforms","Slope of Enlightenment","59.50","57.62","7","10","5","4","10","AI & Automation","Unified AI layer managing urban systems","McKinsey 2026"
"4","Generative AI for Simulation & Planning","Slope of Enlightenment","56.80","55.80","8","9","4","4","9","AI & Automation","Digital twin simulation and predictive urban planning","CB Insights 2026"
"5","Autonomous Decision Intelligence Systems","Innovation Trigger","7.21","89.13","4","9","8","5","9","AI & Automation","Real-time AI-driven governance decisions","Gartner 2026"
"6","6G Intelligent Networks","Innovation Trigger","8.16","83.40","3","9","9","5","10","Connectivity & IoT","Ultra-low latency networks enabling V2X ecosystems","WEF 2026"
"7","Ambient IoT (Battery-Free Sensors)","Innovation Trigger","10.08","71.42","3","8","8","3","10","Connectivity & IoT","Mass-scale embedded sensors for city monitoring","Gartner 2026"
"8","Collaborative Sensing Networks","Slope of Enlightenment","64.38","56.84","7","9","4","3","10","Connectivity & IoT","Sensor fusion for adaptive infrastructure","WEF 2026"
"9","Satellite-to-Device Connectivity","Peak of Inflated Expectations","27.34","13.61","5","8","6","4","8","Connectivity & IoT","Direct satellite communication to devices","McKinsey 2026"
"10","Self-Organizing IoT Networks","Innovation Trigger","11.65","62.83","4","8","7","4","9","Connectivity & IoT","Autonomous resilient IoT networking","CB Insights 2026"
"11","Post-Quantum Cryptography","Slope of Enlightenment","68.83","54.23","7","9","5","4","9","Security, Trust & Privacy","Quantum-resistant encryption",Gartner 2026
"12","AI-Native Cyber Defense Platforms","Slope of Enlightenment","66.56","55.54","8","10","4","3","10","Security, Trust & Privacy","Self-learning cybersecurity systems",McKinsey 2026
"13","Decentralized Digital Identity (DID)","Slope of Enlightenment","62.03","58.14","7","9","5","3","10","Security, Trust & Privacy","Privacy-preserving identity systems",WEF 2026
"14","Confidential Computing at Scale","Plateau of Productivity","88.09","46.68","8","8","3","3","8","Security, Trust & Privacy","Secure data processing environments",CB Insights 2026
"15","Trustworthy AI Governance Platforms","Slope of Enlightenment","52.27","46.42","7","9","5","3","10","Security, Trust & Privacy","Ethical AI and compliance frameworks",Gartner 2026
"16","Edge AI Infrastructure","Slope of Enlightenment","55.14","53.19","8","10","3","3","10","Computing & Infrastructure","Low-latency distributed AI processing","McKinsey 2026"
"17","AI-Optimized Data Centers","Plateau of Productivity","83.38","48.77","9","8","3","2","9","Computing & Infrastructure","Energy-efficient AI-managed infrastructure","CB Insights 2026"
"18","Digital Twin Ecosystems","Slope of Enlightenment","53.66","49.81","7","10","5","3","10","Computing & Infrastructure","Real-time city-scale simulation systems","Gartner 2026"
"19","Neuromorphic Computing","Innovation Trigger","12.52","58.14","4","9","9","2","8","Computing & Infrastructure","Brain-inspired ultra-efficient chips","WEF 2026"
"20","Autonomous Cloud Platforms","Slope of Enlightenment","73.53","52.93","7","8","4","3","9","Computing & Infrastructure","Self-managing cloud environments","McKinsey 2026"
"21","Quantum Computing (Hybrid)","Innovation Trigger","13.48","54.23","4","10","9","6","8","Quantum Technologies","Hybrid quantum-classical optimization systems","Gartner 2026"
"22","Quantum Communication Networks","Innovation Trigger","14.27","50.07","3","9","9","5","8","Quantum Technologies","Ultra-secure quantum communication","WEF 2026"
"23","Quantum Sensing","Innovation Trigger","16.27","41.47","3","8","8","4","7","Quantum Technologies","High-precision sensing capabilities","CB Insights 2026"
"24","Humanoid Service Robots","Peak of Inflated Expectations","37.62","14.65","6","9","8","6","10","Robotics & Physical Systems","Human-like robots for services and logistics","Gartner 2026"
"25","Swarm Robotics Systems","Innovation Trigger","15.22","45.90","4","9","7","5","10","Robotics & Physical Systems","Distributed robotic coordination","McKinsey 2026"
"26","Autonomous Mobility Systems (Level 5)","Trough of Disillusionment","44.25","24.03","6","10","8","4","10","Robotics & Physical Systems","Fully autonomous transportation ecosystems","CB Insights 2026"
"27","Self-Evolving Robotic Systems","Innovation Trigger","11.13","66.21","3","9","9","5","9","Robotics & Physical Systems","Robots that continuously learn and adapt","Gartner 2026"
"28","Bio-Digital Interfaces","Innovation Trigger","17.58","37.31","4","10","8","5","10","Health, Bio & Experience Tech","Brain-computer integration systems",WEF 2026
"29","Precision Medicine Platforms","Slope of Enlightenment","71.00","53.71","7","9","6","4","7","Health, Bio & Experience Tech","AI-driven personalized healthcare",McKinsey 2026
"30","Synthetic Biology for Urban Systems","Innovation Trigger","18.88","32.62","4","8","7","2","8","Energy, Climate & Materials","Bio-engineered systems for sustainability",WEF 2026
