"id","name","phase","x","y","trl","impact","barriers","sustainability","strategicFit","category","notes","source"
"1","Neuromorphic Computing","Innovation Trigger","10.17","70.90","4","9.5","8.5","2","9.5","Computing & Infrastructure","Brain-inspired chips that dramatically reduce energy consumption for AI workloads; addresses AI's growing power constraint. Highly relevant for edge AI and autonomous systems in smart cities where energy efficiency is critical.","CB Insights 2026, Gartner 2026"
"2","Sovereign AI Platforms","Innovation Trigger","9.12","77.41","3","9.2","9","5","9","Computing & Infrastructure","Nation-specific AI infrastructure stacks including domestic chips, cloud, and models. Aligns with Qatar's knowledge economy goals and need for localized, secure AI capabilities reducing foreign dependency.","McKinsey 2026, Gartner 2026"
"3","Generative Watermarking & Provenance","Innovation Trigger","7.03","90.17","4","8.5","7.5","2.5","7.5","Security, Trust & Privacy","Cryptographic techniques to authenticate AI-generated content and track digital assets. Essential for trust in AI-driven media and verifying authenticity of synthetic media in smart city communications.",WEF 2026
"4","Epigenome Editing","Innovation Trigger","11.39","64.65","3","9","9.2","4","7","Health, Bio & Experience Tech","Advanced CRISPR technologies controlling gene expression without DNA cutting; shows promise for chronic diseases. Aligns with Qatar's healthcare research priorities in precision medicine.", Duke University 2026
"5","Agentic AI Security","Innovation Trigger","13.7","52.6","4","9.3","8","3","9.8","Security, Trust & Privacy","Autonomous AI agents that defend against AI-driven cyber threats; early-stage category attracting proven cybersecurity founders. Directly supports QMIC's IoT and connected systems security research.", CB Insights 2026
"6","Autonomous Biochemical Sensing","Innovation Trigger","16.31","41.5","4","8.8","8.2","2.8","8.5","Health, Bio & Experience Tech","Self-operating sensors for real-time chemical and biological detection in environmental and medical contexts. Relevant for Qatar's environmental monitoring and occupational safety applications.", WEF 2026
"7","Causal AI","Innovation Trigger","15.1","46.9","4","8.7","7.8","3.5","9","AI & Automation","AI systems that understand cause-and-effect relationships rather than correlations. Enables more robust decision-making for smart city operations and transportation systems.","Gartner 2026"
"8","Nanozymes","Innovation Trigger","12.61","58.14","3","8.2","8.5","1.8","7.2","Health, Bio & Experience Tech","Engineered nanomaterials with enzyme-like activities for medical and environmental applications. Potential for low-cost diagnostics and pollution treatment in urban environments.", WEF 2026
"9","AI Scientists (Self-Driving Labs)","Innovation Trigger","8.34","83.40","3","9.1","8.8","4.2","8","AI & Automation","AI platforms that automate hypothesis generation, experimentation, and analysis to accelerate R&D cycles. Supports Qatar's research and knowledge economy objectives.","CB Insights 2026"
"10","Shared Autonomous Mobility (Robotaxis)","Peak of Inflated Expectations","27.43","13.09","5","9.2","8.5","5","9.8","Robotics & Physical Systems","Fully autonomous ride-hailing services moving from pilots to scaled deployment; regulatory and safety validation ongoing. Core to QMIC's mobility innovation research agenda.","McKinsey 2026, WEF 2026"
"11","AI-Augmented Software Engineering","Peak of Inflated Expectations","24.99","16.73","6","8.9","6.5","3.2","9","AI & Automation","AI coding agents that generate, test, and debug software; reducing development time but introducing new security and cost management challenges. Accelerates QMIC's software prototyping capabilities.","Gartner 2026"
"12","Commercial Space & Defense AI","Peak of Inflated Expectations","32.00","12.00","5","8.7","8.8","6","8","Robotics & Physical Systems","AI-enabled space systems and defense applications entering mass production; rapid cost reduction driving new use cases. At the intersection of national security and emerging technology.","CB Insights 2026"
"13","Agentic AI ROI Measurement Platforms","Peak of Inflated Expectations","23.16","20.64","5","8.5","7","3.5","8.5","AI & Automation","Tools for quantifying business value and productivity gains from AI agent deployments; solving the ROI measurement challenge. Critical for justifying AI investments in public sector smart city initiatives.","CB Insights 2026, CB Insights 2026"
"14","Digital Twin of the Customer","Trough of Disillusionment","44.16","22.98","5","7.8","7.2","4.5","7.5","AI & Automation","Dynamic virtual models of individual customer behavior and preferences; hype has faded amid privacy concerns and accuracy limitations. Applicable to personalized mobility services and citizen engagement.","Gartner 2026"
"15","Superapps","Trough of Disillusionment","46.34","27.93","6","7.5","6.5","4","7","Connectivity & IoT","Integrated platforms combining messaging, payments, transport, and government services; proven in Asia but Western adoption lagging. Aligns with Qatar's digital government and unified service delivery goals.","Gartner 2026"
"16","Generative AI for Code & Content","Trough of Disillusionment","41.98","19.08","7","8.8","5.8","5.5","8.8","AI & Automation","Mature generative models for code, images, and text moving past peak hype; integration challenges and governance concerns persist. Core enabler for digital content and software development in Qatar's knowledge economy.","Industry Consensus 2026"
"17","Decentralized Identity (DID)","Trough of Disillusionment","48.69","32.62","6","8","7.5","3","9","Security, Trust & Privacy","Self-sovereign digital identity systems; standards exist but adoption remains slow due to user experience and governance challenges. Directly supports QMIC's secure mobility and smart city infrastructure research.", "Gartner 2026, WEF 2026"
"18","Osmotic Energy Systems","Slope of Enlightenment","66.21","55.80","6","8.6","7.8","1.5","8.2","Energy, Climate & Materials","Generating clean energy from salinity gradients between salt and fresh water; emerging as viable renewable source. Aligns with Qatar's sustainability and energy diversification objectives.",WEF 2026
"19","Robotic Swarm Coordination","Slope of Enlightenment","71.09","53.45","6","9","7.5","3.2","9.5","Robotics & Physical Systems","Multiple robots collaborating for logistics, inspection, agriculture, and infrastructure maintenance. Core to QMIC's embodied intelligent systems research for smart city operations.","CB Insights 2026, WEF 2026"
