id,name,phase,x,y,trl,impact,barriers,sustainability,strategicFit,category,notes,source
1,Agentic AI,peak,38,14,4,10,8,9,10,"AI & Automation","Autonomous AI systems on the Peak of Inflated Expectations. Focus is shifting from GenAI to the complexity of Agent Governance.","Gartner 2025"
2,Generative AI,trough,43,20,7,9,7,6,9,"AI & Automation","Has moved into the Trough of Disillusionment as organizations struggle to prove ROI beyond initial content creation use cases.","Gartner 2025"
3,AI-Augmented Software Engineering,slope,65,54,7,8,4,5,8,"Developer Tools","AI copilots and autonomous testing/deployment tools are proving value and scaling adoption.","Industry Consensus"
4,Multiagent Systems,peak,26,15,4,8,7,8,9,"AI & Automation","The foundational concept behind Agentic AI, sharing its high-hype, low-maturity position.","Gartner 2025"
5,Post-Quantum Cryptography (PQC),innovation,10,70,4,10,6,2,10,Security,"Urgency is high due to the 'Harvest Now, Decrypt Later' risk, with material risk expected within five years.","Bain 2025"
6,Quantum Computing,innovation,24,20,3,10,9,8,9,"Advanced Computing","The 'Year of Quantum' in 2025 emphasizes strategic planning for hybrid solutions; practical utility is 5-10 years out.","McKinsey/Bain 2025"
7,Spatial Computing,peak,30,13,6,8,7,6,8,"Human-Machine Synergy","Driven by new hardware releases, expectations are high, but consumer adoption hurdles remain.","Industry Consensus"
8,Sustainable IT (GreenOps),plateau,90,45,9,9,3,1,9,Sustainability,"Practices like GreenOps and cloud optimization (serverless, containerization) are becoming standard and mandatory.","Crayon/ITU 2025"
9,Digital Immune Systems,slope,62,56,7,8,5,3,8,Security,"Combining AI, observability, and resilience testing to create self-healing, fault-tolerant enterprise systems.","Gartner 2025"
10,Confidential Computing,slope,71,52,7,8,4,3,8,Security,"Hardware-based security for data-in-use, seeing broad adoption across cloud providers for sensitive workloads.","Industry Consensus"
11,Cyber-Physical Systems,plateau,78,50,8,7,6,4,7,"IoT & Industrial","Operational systems (OT) integrated with IT, driving smart factories and critical infrastructure.","Industry Consensus"
12,Verifiable Credentials (VCs),slope,75,51,7,8,5,4,8,"Security/Web3","Core component of Decentralized Identity, with adoption accelerating due to regulatory pushes (e.g., EU eIDAS).","Gataca 2025"
13,Synthetic Data,trough,45,25,6,7,6,5,7,"Data & Analytics","Value proven for privacy and testing, but struggles with fidelity and acceptance in regulatory contexts.","Industry Consensus"
14,Digital Humans,trough,47,30,5,6,8,7,6,"Experience Tech","Moving out of peak hype as realism and scalability challenges become apparent.","Industry Consensus"
15,AI-Ready Data,peak,34,13,6,9,5,6,10,"Data Infrastructure","At the Peak of Inflated Expectations, as organizations realize existing data is insufficient for scaled AI.","Gartner 2025"
16,Federated Learning,slope,53,45,6,7,5,6,7,"AI & Automation","Scaling in use cases where privacy (e.g., healthcare, mobile) prevents centralized data pooling.","Industry Consensus"
17,Intelligent Applications,slope,81,49,8,7,3,4,8,"Business Automation","Established applications enhanced with embedded AI/ML to automate tasks and improve user experience.","Industry Consensus"
18,Low-Earth Orbit Comms (LEO),slope,58,56,7,8,6,7,7,Connectivity,"Moving past peak; focus is on terrestrial integration and cost reduction, not just coverage.","Industry Consensus"
19,Advanced Robotics,slope,68,51,7,8,4,4,8,"Autonomous Systems","Advanced manipulation and mobile robotics for logistics and manufacturing are maturing rapidly.","Industry Consensus"
20,Commercial Space Tech,slope,55,55,6,8,6,7,7,"Space Tech","Expansion of private capabilities for remote sensing, satellite services, and logistics.","Industry Consensus"
21,6G Networks,innovation,8,85,2,8,9,6,6,Connectivity,"Fundamental research phase; concepts like AI-driven infrastructure and massive connectivity are emerging.","Industry Consensus"
22,Superapps,slope,84,49,7,7,5,7,7,"Experience Tech","Proven concept in Asia, but facing integration and regulatory hurdles in Western markets.","Industry Consensus"
23,GitOps,plateau,87,47,8,7,3,4,8,"Developer Tools","A standard, mature practice for managing Kubernetes and cloud infrastructure via version control.","Industry Consensus"
24,Decentralized Identity (DID),slope,14,52,7,8.5,6,4,8,"Security/Web3","Maturing rapidly, driven by European regulations and the need for user-centric, privacy-preserving identity management.","Gataca 2025"
