"id","name","phase","x","y","trl","impact","barriers","sustainability","strategicFit","category","notes","source"
"1","Agentic AI","Peak of Inflated Expectations","27.16","13.12","4.5","10","7.5","7.5","10","AI & Automation","Autonomous AI agents orchestrating complex workflows across systems","Claude; Gemini; DeepSeek"
"2","Generative AI & Multimodal Systems","Trough of Disillusionment","48.17","31.61","7.5","9.5","6.5","6","9","AI & Automation","Enterprise adoption shifting toward ROI-driven multimodal systems","Claude; Gemini; DeepSeek"
"3","AI-Augmented Engineering","Slope of Enlightenment","68.83","54.74","7.5","8.5","4","4","9","AI & Automation","AI copilots transforming software and robotics engineering productivity","Claude; Gemini; DeepSeek"
"4","Multi-Agent Systems","Peak of Inflated Expectations","23.24","20.67","4","9","7.5","6.5","9.5","AI & Automation","Distributed AI agents enabling collaborative intelligence and automation","Claude; Gemini; DeepSeek"
"5","Explainable AI","Slope of Enlightenment","55.23","54.48","6","7.5","6.5","2","8","AI & Automation","Transparency and trust layer for AI-driven decisions in critical systems","DeepSeek"
"6","Humanoid Robots","Peak of Inflated Expectations","31.87","11.82","5.5","9","8.5","5.5","9.5","Robotics & Physical Systems","General-purpose robots entering service and industrial domains","Claude; Gemini"
"7","Swarm Robotics","Trough of Disillusionment","39.45","16.24","4.5","8.5","8","4","9","Robotics & Physical Systems","Coordinated robotic fleets for logistics and monitoring","DeepSeek; GPT"
"8","Advanced & Collaborative Robotics","Slope of Enlightenment","74.67","52.15","7.5","8","4","4","8.5","Robotics & Physical Systems","Human-robot collaboration and industrial automation scaling rapidly","Gemini"
"9","Soft Robotics","Trough of Disillusionment","42.16","19.37","5","7.5","7.5","3","8.5","Robotics & Physical Systems","Flexible robots enabling safe human interaction","DeepSeek"
"10","Autonomous Delivery Robots","Trough of Disillusionment","46.17","27.70","6","7","6.5","3.5","8","Robotics & Physical Systems","Last-mile delivery automation in urban environments","DeepSeek"
"11","Edge AI & Federated Learning","Slope of Enlightenment","70.83","53.96","8","9","3.5","4","10","Computing & Infrastructure","Decentralized AI enabling real-time analytics and privacy-preserving learning","Claude; Gemini; DeepSeek"
"12","AI-Specific Semiconductors","Plateau of Productivity","84.34","48.14","7.5","9","7","5","8","Computing & Infrastructure","Custom chips optimized for AI workloads and efficiency","Claude"
"13","Neuromorphic Computing","Innovation Trigger","9.21","77.44","4","8.5","9","2","8","Computing & Infrastructure","Brain-inspired computing for ultra-efficient edge intelligence","DeepSeek"
"14","Quantum Computing","Innovation Trigger","7.82","85.24","3.5","10","9","7","9","Quantum Technologies","Next-generation computing for optimization and simulation challenges","Claude; Gemini"
"15","Post-Quantum Cryptography","Slope of Enlightenment","58.11","57.73","6","10","5.5","3","9.5","Security, Trust & Privacy","Quantum-resilient cryptography addressing future security risks","Gemini"
"16","Quantum-Safe Networking","Innovation Trigger","11.74","62.08","4","9","8","5","9","Security, Trust & Privacy","Secure communication infrastructure for quantum-era threats","GPT"
"17","Decentralized Digital Identity (DID)","Slope of Enlightenment","65.17","56.04","7","8.5","6","4","8.5","Security, Trust & Privacy","User-centric identity enabling privacy-preserving services","Gemini; DeepSeek"
"18","Privacy-Enhancing Computation","Slope of Enlightenment","52.79","47.72","6","7","6","2","7","Security, Trust & Privacy","Secure data processing without exposing sensitive information","DeepSeek"
"19","AI-Driven Cyber Defense","Slope of Enlightenment","72.49","52.92","8","9","4","3","10","Security, Trust & Privacy","Autonomous cybersecurity systems protecting critical infrastructure","GPT"
"20","Satellite Connectivity (LEO)","Slope of Enlightenment","67.17","55.78","7.5","8","5.5","6.5","7.5","Connectivity & IoT","Low Earth orbit networks providing global connectivity","Claude; Gemini"
"21","6G Networks","Innovation Trigger","6.60","92.79","2.5","8","9","5.5","7.5","Connectivity & IoT","Next-generation wireless infrastructure enabling ultra-low latency systems","Claude; Gemini"
"22","Ambient IoT","Innovation Trigger","10.26","70.93","4","8","8","4","9","Connectivity & IoT","Battery-free pervasive sensors embedded in environments","DeepSeek"
"23","Collaborative Sensing Networks","Slope of Enlightenment","62.99","56.82","6.5","8.5","6.5","2","9.5","Connectivity & IoT","Sensor fusion systems enabling real-time situational awareness","Claude; DeepSeek"
"24","Small Modular Reactors (SMRs)","Slope of Enlightenment","60.98","57.47","6.5","9","7.5","3","8","Energy, Climate & Materials","Decentralized nuclear energy systems for reliable clean power","Claude"
"25","Carbon Capture & Utilization","Innovation Trigger","13.48","53.48","5.5","8","7.5","2","7","Energy, Climate & Materials","Technologies for reducing atmospheric CO2 emissions","Claude; DeepSeek"
"26","Green Hydrogen","Slope of Enlightenment","56.54","56.56","6","8","7.5","2.5","7.5","Energy, Climate & Materials","Clean fuel for energy storage and transport systems","DeepSeek"
"27","Structural Battery Composites","Slope of Enlightenment","54.10","51.09","6","8.5","6","2","7.5","Energy, Climate & Materials","Materials combining structural strength and energy storage","Claude"
"28","RNA & Epigenetic Therapies","Slope of Enlightenment","59.50","57.86","6.5","9","6.5","4","7","Health, Bio & Experience Tech","Advanced genetic therapies transforming precision medicine","Claude; Gemini"
"29","Engineered Living Therapeutics","Slope of Enlightenment","51.83","44.08","5.5","9","8","4","6","Health, Bio & Experience Tech","Programmable microbes for medical and environmental applications","Claude"
"30","Digital Humans","Trough of Disillusionment","44.51","23.80","5","6.5","8","6.5","6","Health, Bio & Experience Tech","AI-driven virtual humans for interaction and services","Gemini"
