id,name,phase,x,y,trl,impact,barriers,sustainability,strategicFit,category,notes,source
1,Agentic AI,peak,28,12,4,10,8,9,10,"AI & Automation","Autonomous AI systems capable of complex decision-making and action planning.","Gartner Hype Cycle 2025"
2,Generative AI & Multimodal Models,trough,44,22,7,9,5,6,7,"AI & Automation","AI capable of creating text, images, code, and 3D models from various inputs.","Industry Consensus 2025"
3,AI-Augmented Software Engineering,slope,62,48,7,8,4,5,8,"Developer Tools","AI copilots and autonomous agents automating code generation, testing, and deployment.","Industry Consensus 2025"
4,AI Safety & Governance Platforms,slope,55,52,6,9,6,3,9,"Trust & Security","Tools to monitor, secure, and ensure ethical, reliable, and compliant operation of AI systems.","Gartner 2025"
5,Multi-Agent Systems,peak,24,10,4,8,7,8,10,"AI & Automation","The coordination of multiple specialized agents to achieve complex goals beyond any single agent's capability.","Gartner Hype Cycle 2025"
6,Humanoid Robots,peak,33,14,4,10,8,5,10,Robotics,"General-purpose robots with human-like physical forms for tasks in complex, human-designed environments.","McKinsey Tech Trends 2025"
7,Swarm Robotics,innovation,11,65,3,9,9,6,10,Robotics,"Large groups of simple, coordinated robots for parallel tasks like large-area inspection or construction.","Industry Research"
8,Edge AI & Federated Learning,slope,68,45,7,8,4,3,9,Computing,"Processing data locally (Edge AI) and collaborative model training on distributed data (Federated Learning).","Gartner 2025"
9,Quantum Computing,innovation,8,88,3,10,9,8,8,"Quantum Tech","Utilizing quantum mechanics to solve problems intractable for classical computers (e.g., optimization, simulation).","McKinsey/Bain 2025"
10,Post-Quantum Cryptography,innovation,9,75,4,10,6,2,9,"Trust & Security","New cryptographic algorithms designed to resist attacks from future quantum computers.","NIST/Industry"
11,Structural Battery Composites,innovation,11,70,4,8,7,3,8,"Energy & Materials","Materials that simultaneously store energy and bear mechanical load, reducing weight/space.","Nature/Industry Research"
12,Green Nitrogen Fixation,innovation,6,94,2,7,9,1,4,"Climate Tech","Developing highly energy-efficient and low-carbon methods for producing ammonia (fertilizer).","Bio-Tech Research"
13,Next-Gen Nuclear (SMRs),slope,58,55,6,9,7,2,7,"Energy & Materials","Small Modular Reactors (SMRs) offering scalable, safer, and faster-to-deploy low-carbon energy.","World Nuclear Assoc."
14,Carbon Capture & Utilization,slope,65,50,7,8,6,8,8,"Climate Tech","Technologies that capture CO2 from industrial sources or the air and convert it into useful products or materials.","IEA/Industry"
15,Engineered Living Therapeutics,innovation,8,80,3,8,9,5,2,Healthcare,"Cells or organisms modified to sense and respond to disease in the body.","Bio-Tech Research"
16,RNA & Epigenetic Therapies,slope,60,54,7,9,5,4,2,Healthcare,"Treatments that control gene expression without altering the underlying DNA sequence.","Bio-Tech Research"
17,Bio-Digital Interfaces,peak,30,14,5,9,8,5,9,BioTech,"Technologies like Neuralink that directly connect biological systems to digital networks.","Industry Research"
18,Synthetic Biology Platforms,slope,56,56,6,7,6,4,3,Healthcare,"Tools and systems to engineer biological components and systems for new functions (e.g., materials, computation).","Industry Consensus 2025"
19,6G Networks,innovation,6,90,2,10,9,6,10,Connectivity,"Next-gen wireless offering terahertz speeds, AI integration, and extreme low latency/massive density.","ITU-R Research"
20,Satellite Internet Constellations,slope,70,46,8,8,5,7,8,"Space Tech","Massive LEO/MEO satellite networks (Starlink, OneWeb) providing global, low-latency, high-speed internet access.","Industry Consensus 2025"
21,Collaborative Sensing Networks,plateau,82,48,8,8,4,3,10,"IoT & Sensors","A network where individual sensors (cameras, environmental, LiDAR) share and fuse data to create a single, real-time picture of the environment.","Industry Consensus 2025"
22,Digital Twin of the Customer,trough,46,28,5,6,7,6,6,"Experience Tech","A dynamic, virtual model of an individual citizen or demographic, used for personalized services and planning.","Gartner Hype Cycle CX 2024"
23,Superapps,slope,72,50,7,7,5,7,6,"Experience Tech","All-in-one digital platforms offering a range of consolidated services (e.g., payments, transport, government services).","Industry Consensus 2025"
24,Machine Customers,peak,26,14,4,7,8,7,5,"AI & Automation","Non-human entities (AI agents, devices, robots) that autonomously negotiate and purchase goods or services.","Gartner 2025"
25,AI-Driven Cyber Defense,plateau,85,50,9,9,3,3,9,"Trust & Security","Autonomous systems using AI/ML to detect, analyze, and automatically respond to cyber threats in real-time.","Industry Consensus 2025"
26,Quantum-Safe Networking,slope,64,51,6,9,7,3,9,"Quantum Tech","Implementing quantum key distribution (QKD) or PQC algorithms across network infrastructure.","Industry Research"
27,Decentralized Digital Identity (DID),slope,66,49,7,8,6,4,7,"Trust & Security","User-controlled, privacy-preserving digital identifiers, often underpinned by blockchain/DLT.","Gataca Trends 2025"
28,Green IT & Sustainable Data Centers,plateau,88,52,9,9,3,1,9,Sustainability,"Focus on energy efficiency, optimized cooling, and renewable power for all data and computing infrastructure.","Industry Consensus 2025"
29,Circular Electronics Manufacturing,slope,52,58,6,7,7,2,6,Sustainability,"Designing electronics for repair, refurbishment, and full material recovery/recycling to reduce waste.","WEEE Forum/Industry"
30,AI for Climate Resilience,peak,36,15,5,9,6,3,9,"Climate Tech","Using AI/ML to model, predict, and automate responses to climate risks (e.g., extreme heat, floods) within urban areas.","UN/Industry Research"
