id,name,phase,x,y,trl,impact,barriers,sustainability,strategicFit,category,notes,source
1,Agentic AI,innovation,15,48,4,9,7,4,8,"AI & Automation","Autonomous AI systems with minimal oversight","Gartner 2024, McKinsey 2025"
2,Generative AI,trough,42,19,6,9,5,5,7,"AI & Automation","Moving past peak hype to ROI focus","Gartner 2024"
3,AI-Augmented Software Engineering,innovation,12,60,5,8,4,3,6,"Developer Tools","Revolutionizing developer productivity","Gartner 2024"
4,Multiagent Systems,innovation,8,82,3,9,8,4,9,"AI & Automation","Coordinated autonomous AI agents","Gartner 2024"
5,Humanoid Robots,peak,28,13,4,8,9,6,10,Robotics,"Physical AI embodiments entering workplace","Gartner 2024, McKinsey 2025"
6,Structural Battery Composites,slope,62,55,5,8,6,2,7,"Energy & Materials","Weight-bearing energy storage for EVs","WEF 2025"
7,Green Nitrogen Fixation,slope,56,55,4,7,7,1,5,"Climate Tech","Sustainable ammonia production","WEF 2025"
8,Generative Watermarking,innovation,11,66,5,7,5,2,6,"Trust & Security","AI content authentication","WEF 2025"
9,Engineered Living Therapeutics,slope,53,50,5,9,8,4,4,Healthcare,"Programmable microbes for medicine","WEF 2025"
10,Next-Gen Nuclear Energy,slope,66,53,6,9,8,3,6,"Energy & Materials","Small modular reactors (SMRs)","WEF 2025"
11,Osmotic Power Systems,innovation,9,77,3,6,8,2,5,"Energy & Materials","Salinity gradient energy","WEF 2025"
12,Application-Specific Semiconductors,slope,74,51,7,9,7,5,8,Computing,"Purpose-built chips for AI workloads","McKinsey 2025"
13,Spatial Computing,slope,51,40,6,7,6,4,8,"Immersive Tech","AR/VR for enterprise collaboration","McKinsey 2025, Gartner 2024"
14,Digital Twin of Customer,trough,45,23,5,7,7,3,7,"Experience Tech","Virtual customer representation","Gartner 2024"
15,Quantum Computing,trough,39,14,4,9,9,6,6,Computing,"Moving toward practical applications","McKinsey 2025"
16,AI Disease Management,slope,59,56,6,9,6,3,5,Healthcare,"Early detection and diagnosis","CB Insights 2025"
17,Liquid-Cooled Data Centers,slope,71,53,7,7,5,2,7,Infrastructure,"Energy-efficient computing","CB Insights 2025"
18,RNA Therapeutics,slope,64,54,6,9,7,3,4,Healthcare,"Next-gen mRNA treatments","CB Insights 2025"
19,Cyborg Wealth Advisors,innovation,13,55,5,6,7,3,3,"Financial Services","AI-powered investment management","CB Insights 2025"
20,Satellite Constellation Tech,plateau,82,50,8,8,4,6,8,"Space Tech","LEO commercialization","CB Insights 2025"
21,6G Networks,innovation,7,89,2,8,9,5,9,Connectivity,"Next-generation wireless","Gartner 2024"
22,Superapps,slope,78,52,7,7,5,3,6,"Experience Tech","All-in-one digital platforms","Gartner 2024"
23,GitOps,plateau,88,48,8,6,3,2,5,"Developer Tools","Infrastructure as code standard","Gartner 2024"
24,Machine Customers,innovation,10,73,3,7,8,4,7,"AI & Automation","AI agents as purchasing entities","Gartner 2025"
25,Collaborative Sensing,slope,68,54,6,7,6,2,10,"IoT & Sensors","Distributed sensor networks with AI","WEF 2025"
