id,name,phase,x,y,trl,impact,barriers,sustainability,strategicFit,category,notes,source
1,Agentic AI,innovation,8,85,4,9,7,8,9,"AI & Automation","Autonomous AI systems with minimal oversight","Gartner 2024, McKinsey 2025"
2,Generative AI for City Management,peak,40,15,7,9.5,7.5,6.5,9,"AI & Automation","For simulating urban scenarios, automating public services, and generating traffic/utility plans","Gartner 2024, McKinsey 2024"
3,AI-Augmented Robotics Programming,enlightenment,74,50,7,8.5,6,2,9.5,"AI & Automation","Drastically reduces time to program and re-task industrial and service robots","Gartner 2024"
4,Urban Digital Twins,innovation,9,81,6,9,8,2.5,10,"Smart City Infrastructure","Dynamic virtual model of a city for planning, simulation, and disaster response","WEF 2024, McKinsey 2024"
5,Swarm Robotics,trough,45,25,5,8.5,8.5,3,9,Robotics,"Coordinated fleets of drones or ground robots for logistics and surveillance","CB Insights 2024"
6,Solid-State Batteries,enlightenment,69,52,6,8,7,3,8.5,"Energy & Sustainability","Higher energy density and safety for EVs and grid storage","McKinsey 2024, CB Insights 2024"
7,Neuromorphic Computing,innovation,7,90,4,8.5,9,2,8,"Computing Hardware","Brain-like chips for ultra-efficient processing at the edge","Gartner 2024, McKinsey 2024"
8,Self-Healing Concrete,enlightenment,75,53,7,7,6.5,2,8,"Smart City Infrastructure","Reduces maintenance costs for urban infrastructure","WEF 2024"
9,Pervasive Ambient IoT,innovation,13,55,4,8,8,4,9.5,"IoT & Connectivity","Billions of tiny batteryless sensors embedded in the environment","Gartner 2024"
10,Edge AI for Computer Vision,enlightenment,60,57,8,9,5.5,5.5,9.5,"AI & Automation","Real-time video analytics for traffic management and public safety","Gartner 2024, McKinsey 2024"
11,Advanced EVTOL (Flying Cars),peak,40,15,5,7.5,9.5,5,7,"Mobility & Transportation","Urban air mobility with high regulatory barriers","McKinsey 2024, CB Insights 2024"
12,Cognitive Autonomous Agents,innovation,10,77,4,9,8.5,6.5,8.5,"AI & Automation","AI agents that perform complex multi-step tasks across city systems","Gartner 2024"
13,Soft Robotics,trough,43,20,5,7.5,7.5,2,8.5,Robotics,"Robots made of compliant materials for safe human interaction","WEF 2024"
14,Spatial Computing & AR Cloud,trough,48,32,5,8,7,4,8.5,"Immersive Technologies","Persistent digital layer over the city for navigation and maintenance","CB Insights 2024, Gartner 2024"
15,Green Hydrogen,enlightenment,66,53,6,8,7.5,2.5,7.5,"Energy & Sustainability","Clean fuel for backup power and heavy transport in smart cities","McKinsey 2024, WEF 2024"
16,Decentralized Identity (DID),innovation,10,68,5,7.5,8,3,8,"Security & Privacy","Citizen-controlled digital IDs for secure access to city services","Gartner 2024, WEF 2024"
17,5G/6G Advanced Network Slicing,enlightenment,72,52,7,8.5,6,2.5,9,"IoT & Connectivity","Dedicated virtual networks for critical services and robotics","Gartner 2024"
18,Bio-Inspired Sensors,innovation,10,73,4,7,8.5,2,7.5,"Sensors & Monitoring","Highly sensitive low-power sensors mimicking nature for environmental monitoring","WEF 2024"
19,Wireless Power Transfer,innovation,11,62,3,8,9,3,8.5,"Energy & Sustainability","Charging electric vehicles and robots dynamically without plugs","CB Insights 2024"
20,Explainable AI (XAI),enlightenment,80,51,6,7.5,6.5,2,8,"AI & Automation","Critical for building trust in autonomous city systems and robotics","Gartner 2024"
21,Smart Waste Management Robots,plateau,85,49,8,6.5,4.5,1.5,8.5,Robotics,"Autonomous sorting and collection of recycling and waste","Industry Reports 2024"
22,Privacy-Enhancing Computation,enlightenment,56,55,6,7,6,2,7,"Security & Privacy","Allows data analysis without exposing personal data","Gartner 2024"
23,4D Printing,innovation,17,40,3,7.5,9,4,7,"Advanced Manufacturing","Materials that self-assemble for adaptive infrastructure","WEF 2024, CB Insights 2024"
24,AI-Driven Predictive Maintenance,enlightenment,83,50,7,8,5,2,9,"AI & Automation","For city infrastructure and robotic fleets to prevent failures","McKinsey 2024"
25,Autonomous Last-Mile Delivery Bots,trough,50,37,6,7,6.5,3.5,8,Robotics,"Sidewalk and road robots for package delivery","CB Insights 2024"
26,Carbon Capture & Utilization,innovation,30,12,5,7.5,8.5,2,6.5,"Energy & Sustainability","Directly addresses urban carbon emissions","McKinsey 2024, WEF 2024"
27,Haptic Feedback Interfaces,enlightenment,77,51,6,7,6,2,8,"Human-Machine Interface","For remote control of robots and immersive training","Gartner 2024"
28,Multi-Modal Fusion Sensing,enlightenment,63,55,6,8.5,7,2,9.5,"Sensors & Monitoring","Combining LiDAR, radar and camera data for robust perception","Robotics Industry 2024"
29,Cybersecurity Digital Twins,innovation,15,45,4,7.5,7.5,3,8,"Security & Privacy","Simulating city networks to proactively find vulnerabilities","Gartner 2024"
30,Agricultural Robotics (AgBots),plateau,88,48,8,7,5,2,6,Robotics,"For urban vertical farming and local food security","CB Insights 2024"
