id,name,phase,x,y,trl,impact,barriers,sustainability,strategicFit,category,notes,source
1,Agentic AI,innovation,8,88,4,9.2,8.5,6.5,9.5,"AI & Automation","Autonomous AI systems that can plan and execute complex tasks with minimal human oversight","Gartner 2024, McKinsey 2025"
2,Generative AI & Multimodal Models,peak,35,14,7,9.8,7.2,7.0,9.0,"AI & Automation","Advanced AI models capable of processing and generating text, images, audio, and video simultaneously","Gartner 2024, McKinsey 2024"
3,AI-Augmented Software Engineering,enlightenment,65,45,7,8.7,5.8,2.5,8.5,"Developer Tools","AI tools that assist in code generation, testing, debugging, and software architecture design","Gartner 2024"
4,AI Safety & Governance Platforms,innovation,10,78,5,8.5,8.0,3.0,8.0,"Trust & Security","Systems for ensuring AI alignment, transparency, and ethical deployment across organizations","WEF 2024, Gartner 2024"
5,Multi-Agent Systems,innovation,10,68,4,8.8,8.2,5.5,8.8,"AI & Automation","Coordinated AI agents that collaborate to solve complex problems beyond individual agent capabilities","McKinsey 2024"
6,Humanoid Robots,peak,35,14,5,8.9,9.0,4.5,8.2,Robotics,"Bipedal robots designed for human environments with advanced manipulation and mobility","CB Insights 2024"
7,Swarm Robotics,trough,45,28,6,8.4,7.8,3.2,8.6,Robotics,"Coordinated groups of simple robots working together for complex tasks like search and rescue","WEF 2024"
8,Edge AI & Federated Learning,enlightenment,68,48,7,8.6,6.5,3.8,9.1,Computing,"AI processing on local devices with privacy-preserving distributed model training","Gartner 2024, McKinsey 2024"
9,Quantum Computing,innovation,11,72,3,9.5,9.5,4.0,7.5,"Quantum Tech","Quantum processors solving problems intractable for classical computers in optimization and simulation","McKinsey 2024, WEF 2024"
10,Post-Quantum Cryptography,innovation,12,65,5,8.3,7.5,2.0,8.3,"Trust & Security","Cryptographic algorithms resistant to attacks from both classical and quantum computers","NIST 2024, Gartner 2024"
11,Structural Battery Composites,innovation,20,62,4,8.0,8.8,2.2,7.8,"Energy & Materials","Battery materials that serve as both energy storage and structural components","WEF 2024"
12,Green Nitrogen Fixation,innovation,16,58,3,7.8,8.5,1.8,6.5,"Climate Tech","Low-energy processes for fertilizer production reducing agricultural carbon footprint","Nature 2024"
13,Next-Gen Nuclear (SMRs),enlightenment,62,42,6,8.7,8.9,3.5,7.2,"Energy & Materials","Small Modular Reactors offering scalable, safer nuclear energy with reduced waste","IAEA 2024, McKinsey 2024"
14,Carbon Capture & Utilization,innovation,12,55,5,8.2,8.2,1.5,7.0,"Climate Tech","Technologies that capture CO2 and convert it into valuable products and materials","IPCC 2024, WEF 2024"
15,Engineered Living Therapeutics,innovation,14,52,3,8.9,9.2,4.2,6.0,Healthcare,"Genetically engineered cells and microbes designed as precision medical treatments","Nature Biotech 2024"
16,RNA & Epigenetic Therapies,enlightenment,58,50,6,8.8,7.8,3.0,5.8,Healthcare,"Next-generation genetic medicines targeting RNA and epigenetic modifications","FDA 2024, McKinsey 2024"
17,Bio-Digital Interfaces,innovation,22,48,4,8.5,8.7,5.8,7.5,BioTech,"Direct interfaces between biological systems and digital computing platforms","WEF 2024"
18,Synthetic Biology Platforms,enlightenment,48,40,6,8.6,8.0,3.3,6.8,Healthcare,"Automated platforms for designing and engineering biological systems at scale","SynBio Beta 2024"
19,6G Networks,innovation,18,42,2,9.0,8.5,4.5,9.2,Connectivity,"Next-generation wireless networks integrating sensing, AI, and sub-THz frequencies","ITU 2024, Gartner 2024"
20,Satellite Internet Constellations,enlightenment,65,48,7,7.8,7.2,5.2,7.8,"Space Tech","Global broadband networks using low-earth orbit satellite mega-constellations","FCC 2024, McKinsey 2024"
21,Collaborative Sensing Networks,innovation,12,38,4,8.1,7.0,3.8,8.9,"IoT & Sensors","Distributed sensor networks that share data for comprehensive environmental monitoring","IEEE 2024"
22,Digital Twin of the Customer,peak,40,17,5,8.4,6.8,2.8,8.1,"Experience Tech","Comprehensive virtual models of customer behavior, preferences, and journeys","Gartner 2024"
23,Superapps,enlightenment,72,50,7,7.9,6.2,3.0,7.5,"Experience Tech","Integrated platforms combining multiple services, apps, and functionalities","McKinsey 2024"
24,Machine Customers,innovation,20,35,4,8.7,7.5,4.0,8.4,"AI & Automation","Autonomous systems that can identify needs, negotiate, and make purchases without human intervention","Gartner 2024"
25,AI-Driven Cyber Defense,enlightenment,68,54,6,8.9,6.5,2.5,9.0,"Trust & Security","Autonomous security systems that predict, detect, and respond to threats in real-time","Gartner 2024, MITRE 2024"
26,Quantum-Safe Networking,innovation,16,32,3,8.2,8.0,2.2,8.2,"Quantum Tech","Network infrastructure resistant to quantum computing-based attacks","NIST 2024, ITU 2024"
27,Decentralized Digital Identity (DID),enlightenment,62,54,6,8.0,7.8,2.8,8.5,"Trust & Security","Self-sovereign identity systems giving users control over their personal data","WEF 2024, Gartner 2024"
28,Green IT & Sustainable Data Centers,enlightenment,75,50,7,7.8,6.0,1.2,7.8,Sustainability,"Energy-efficient computing infrastructure with minimal environmental impact","Uptime Institute 2024"
29,Circular Electronics Manufacturing,innovation,26,14,4,7.5,7.2,1.5,6.8,Sustainability,"Closed-loop production systems that eliminate waste and maximize material reuse","Ellen MacArthur 2024"
30,AI for Climate Resilience,enlightenment,58,55,6,8.3,6.8,1.0,7.2,"Climate Tech","AI systems predicting climate impacts and optimizing adaptation strategies","UN Climate Tech 2024, McKinsey 2024"
